MerchantId,PaymentType,MerchantReferenceId,PhonePeReferenceId,StoreId,StoreName,TerminalId,TerminalName,From,Instrument,CreationDate,TransactionDate,SettlementDate,BankReferenceNo,Amount,Fee,IGST,CGST,SGST
ABFRLPETERENGLAND,PAYMENT,63889-6388901-20230605141417,T2306051945572147922828,63889,Peter England,6388901,6388901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,798.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63889-6388901-20230605115323,T2306051723292793532253,63889,Peter England,6388901,6388901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,3196.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63889-6388901-20230605153214,T2306052102468341316867,63889,Peter England,6388901,6388901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,499.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63889-6388901-20230605114808,T2306051718367570309932,63889,Peter England,6388901,6388901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,9395.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63816-6381601-20230605145206,T2306052022194143437302,63816,Peter England,6381601,6381601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,5196.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63816-6381601-20230605100600,T2306051536126466676407,63816,Peter England,6381601,6381601,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,199.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66043-6604301-20230605091057,T2306051441155492135433,66043,Peter England,6604301,6604301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,1998.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66043-6604301-20230605085853,T2306051430163359400441,66043,Peter England,6604301,6604301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,3898.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63649-6364901-20230605113015,T2306051700528712858580,63649,Peter England,6364901,6364901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,1799.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPLANETFASHION,PAYMENT,41001-4100101-20230605151307,T2306052043182722858827,41001,Planet Fashion Najibabad Road,4100101,4100101,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571287290,1399.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPLANETFASHION,PAYMENT,41001-4100101-20230605144122,T2306052011513048881079,41001,Planet Fashion Najibabad Road,4100101,4100101,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571287290,1999.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,17959-1795901-20230605112717,T2306051657286279400017,17959,17959,1795901,1795901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,2996.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63913-6391301-20230605101035,T2306051540508610309832,63913,Peter England,6391301,6391301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,899.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63913-6391301-20230605084029,T2306051410424837922799,63913,Peter England,6391301,6391301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,1599.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63913-6391301-20230605150317,T2306052033355986802482,63913,Peter England,6391301,6391301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,3846.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63913-6391301-20230605141057,T2306051942390134787661,63913,Peter England,6391301,6391301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,476.260000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSEN,PAYMENT,28289-2828901-20230605090403,T2306051434122485028396,28289,28289,2828901,2828901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31570999410,7451.150000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSEN,PAYMENT,28289-2828901-20230605092948,T2306051459578148227249,28289,28289,2828901,2828901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31570999410,500.000000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSEN,PAYMENT,28289-2828901-20230605141510,T2306051945173329472376,28289,28289,2828901,2828901,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31570999410,14208.750000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSEN,PAYMENT,27558-2755801-20230605150426,T2306052034464164915342,27558,27558,2755801,2755801,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31570999410,678.000000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSEN,PAYMENT,27558-2755801-20230605154504,T2306052115184113120613,27558,27558,2755801,2755801,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31570999410,1198.000000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSEN,PAYMENT,27558-2755801-20230605104011,T2306051610211073938334,27558,27558,2755801,2755801,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31570999410,1015.000000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSEN,PAYMENT,27558-2755801-20230605131933,T2306051849433513858503,27558,27558,2755801,2755801,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31570999410,1498.000000,0.000000,0.000000,0.000000,0.000000
ABFRLVANHEUSEN,PAYMENT,27558-2755801-20230605163502,T2306052205153014366966,27558,27558,2755801,2755801,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31570999410,949.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63662-6366201-20230605122515,T2306051755317070897811,63662,Peter England,6366201,6366201,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,1299.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63662-6366201-20230605125701,T2306051827130212427977,63662,Peter England,6366201,6366201,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,3298.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63662-6366201-20230605164405,T2306052215016642924385,63662,Peter England,6366201,6366201,PhonePe Private Limited,PG_CC_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,11196.000000,-156.744000,0.000000,-14.107000,-14.107000
ABFRLLOUISPHILIPPE,PAYMENT,19753-1975301-20230605141103,T2306051941361199472712,19753,Louis Philippe,1975301,1975301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,1999.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,19753-1975301-20230605143002,T2306052000515690309726,19753,Louis Philippe,1975301,1975301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,2799.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,11040-1104001-20230605111946,T2306051650092226100705,11040,Louis Philippe - Park Lane,1104001,1104001,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,3445.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,11040-1104001-20230605073146,T2306051302034328849016,11040,Louis Philippe - Park Lane,1104001,1104001,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,15594.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,86757-8675701-20230605130001,T2306051830228016996467,86757,Louis Philippe Value Store Bhubaneshwar,8675701,8675701,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,1079.090000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,11052-1105202-20230605140752,T2306051938313156676756,11052,Louis Philippe - Jungli Maharaj Road,1105202,1105202,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,2549.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,11052-1105202-20230605151114,T2306052041274589112277,11052,Louis Philippe - Jungli Maharaj Road,1105202,1105202,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,1299.000000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,86757-8675701-20230605075002,T2306051320155529432328,86757,Louis Philippe Value Store Bhubaneshwar,8675701,8675701,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,48.500000,0.000000,0.000000,0.000000,0.000000
ABFRLLOUISPHILIPPE,PAYMENT,86757-8675701-20230605130152,T2306051832010129112935,86757,Louis Philippe Value Store Bhubaneshwar,8675701,8675701,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571685208,1399.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66073-6607301-20230605130024,T2306051830380419170043,66073,Peter England,6607301,6607301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,199.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66073-6607301-20230605055353,T2306051123594843532197,66073,Peter England,6607301,6607301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,2767.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63634-6363401-20230605063231,T2306051202453772947440,63634,Peter England,6363401,6363401,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,2299.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63634-6363401-20230605075120,T2306051321354929298500,63634,Peter England,6363401,6363401,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,10967.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,63634-6363401-20230605152249,T2306052053058225966312,63634,Peter England,6363401,6363401,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,200.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66192-6619201-20230605091423,T2306051444339589061929,66192,Peter England,6619201,6619201,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,1259.090000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66192-6619201-20230605123606,T2306051806164165966062,66192,Peter England,6619201,6619201,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,3447.750000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66553-6655301-20230605091602,T2306051446309020309206,66553,Pe Red Pe-Red Kopargaon,6655301,6655301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,3597.000000,0.000000,0.000000,0.000000,0.000000
ABFRLPETERENGLAND,PAYMENT,66553-6655301-20230605104810,T2306051618165601075656,66553,Pe Red Pe-Red Kopargaon,6655301,6655301,PhonePe Private Limited,UPI_FULFILMENT,05-06-2023,05-06-2023,06-06-2023,YESB31571684202,2598.000000,0.000000,0.000000,0.000000,0.000000
