"Sales Date","Deposit Date","Store ID","Retek Code",Brand,"Bank Drop ID","Tender Amount","BankDrop Amount","Deposit Amount","Tender Difference[Tender-Deposit]","Pending Difference","Reconcilied Difference",Status,"Reconciliation Status"
01-04-2024,02-04-2024,7805,87805,"PEM VALUE STORE",8780500280,11195.00,15600.00,15600.00,-4405.00,-4405.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7851,37851,"AS PRIME",3785100296,6804.00,10150.00,10150.00,-3346.00,-3346.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7882,17882,"LOUIS PHILIPPE",1788200321,35088.00,35750.00,35750.00,-662.00,-662.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7903,67903,"PE BLUE",6790300269,23313.00,14530.00,14530.00,8783.00,8783.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7935,37935,"ALLEN SOLLY",3793500196,15757.00,16260.00,16260.00,-503.00,-503.00,,"Not Matched",Pending
01-04-2024,02-04-2024,7986,87986,"VAN HEUSEN VALUE STORE",8798600096,160.00,19900.00,19900.00,-19740.00,-19740.00,,"Not Matched",Pending
01-04-2024,02-04-2024,8090,28090,"VAN HEUSEN",2809000710,35998.00,36500.00,36500.00,-502.00,-502.00,,"Not Matched",Pending
01-04-2024,02-04-2024,8136,28136,"VAN HEUSEN",2813600672,3099.00,34000.00,34000.00,-30901.00,-30901.00,,"Not Matched",Pending
01-04-2024,03-04-2024,8154,28154,"VAN HEUSEN",2815400406,10169.00,11530.00,11530.00,-1361.00,-1361.00,,"Not Matched",Pending
01-04-2024,02-04-2024,8350,28350,"VAN HEUSEN",2835000670,7556.00,45130.00,45130.00,-37574.00,-37574.00,,"Not Matched",Pending
01-04-2024,01-04-2024,8409,78409,"FOREVER 21",,.00,.00,40420.00,-40420.00,-40420.00,,"Not Matched",Pending
01-04-2024,01-04-2024,8412,78412,"FOREVER 21",,.00,.00,36100.00,-36100.00,-36100.00,,"Not Matched",Pending
01-04-2024,01-04-2024,8414,78414,"FOREVER 21",,.00,.00,65800.00,-65800.00,-65800.00,,"Not Matched",Pending
01-04-2024,01-04-2024,8415,78415,"FOREVER 21",,.00,.00,33478.00,-33478.00,-33478.00,,"Not Matched",Pending
01-04-2024,01-04-2024,8416,78416,"FOREVER 21",,.00,.00,58790.00,-58790.00,-58790.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9482,19482,"LOUIS PHILIPPE",1948200524,32410.00,46250.00,46250.00,-13840.00,-13840.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9492,29492,"VAN HEUSEN",2949200437,5996.00,6100.00,6100.00,-104.00,-104.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9636,19636,"LOUIS PHILIPPE",1963600336,5848.00,54530.00,54530.00,-48682.00,-48682.00,,"Not Matched",Pending
01-04-2024,01-04-2024,9702,59702,"AMERICAN EAGLE",,.00,.00,167100.00,-167100.00,-167100.00,,"Not Matched",Pending
01-04-2024,01-04-2024,9702,59702,"AMERICAN EAGLE",,.00,.00,145950.00,-145950.00,-145950.00,,"Not Matched",Pending
01-04-2024,01-04-2024,9706,59706,"AMERICAN EAGLE",,.00,.00,314400.00,-314400.00,-314400.00,,"Not Matched",Pending
01-04-2024,01-04-2024,9713,59713,"AMERICAN EAGLE",,.00,.00,91500.00,-91500.00,-91500.00,,"Not Matched",Pending
01-04-2024,01-04-2024,9713,59713,"AMERICAN EAGLE",,.00,.00,124500.00,-124500.00,-124500.00,,"Not Matched",Pending
01-04-2024,01-04-2024,9718,59718,"AMERICAN EAGLE",,.00,.00,91940.00,-91940.00,-91940.00,,"Not Matched",Pending
01-04-2024,01-04-2024,9718,59718,"AMERICAN EAGLE",,.00,.00,90000.00,-90000.00,-90000.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9772,69772,"PE BLUE",6977200665,6597.00,23140.00,23140.00,-16543.00,-16543.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9794,69794,"PE BLUE",6979400444,7346.00,8650.00,8650.00,-1304.00,-1304.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9804,69804,"PE BLUE",6980400637,24245.00,500.00,500.00,23745.00,23745.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9813,19813,"LOUIS PHILIPPE",1981300518,10796.00,60800.00,60800.00,-50004.00,-50004.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9818,29818,"VAN HEUSEN",2981800667,3836.00,3340.00,3340.00,496.00,496.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9817,29817,"VAN HEUSEN",2981700523,1876.00,2000.00,2000.00,-124.00,-124.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9871,19871,"LOUIS PHILIPPE",1987100548,10846.00,32000.00,32000.00,-21154.00,-21154.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9877,69877,"PE BLUE",6987700235,6999.00,8700.00,8700.00,-1701.00,-1701.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9888,49888,"PLANET FASHION",4988800563,2999.00,5670.00,5670.00,-2671.00,-2671.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9893,19893,"LOUIS PHILIPPE",1989300659,31295.00,31000.00,31000.00,295.00,295.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9931,19931,"LOUIS PHILIPPE",1993100661,12496.00,17900.00,17900.00,-5404.00,-5404.00,,"Not Matched",Pending
01-04-2024,02-04-2024,9978,19978,"LOUIS PHILIPPE",1997800507,20962.00,63650.00,63650.00,-42688.00,-42688.00,,"Not Matched",Pending
01-04-2024,04-04-2024,9995,,"LOUIS PHILIPPE",1999500576,.00,16900.00,16900.00,-16900.00,-16900.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9991,29991,"VAN HEUSEN",,.00,.00,12300.00,-12300.00,-12300.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9992,29992,"VAN HEUSEN",,.00,.00,3566.00,-3566.00,-3566.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9971,29971,"VAN HEUSEN",,.00,.00,7850.00,-7850.00,-7850.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9971,29971,"VAN HEUSEN",,.00,.00,27060.00,-27060.00,-27060.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9957,19957,"LOUIS PHILIPPE",,.00,.00,31970.00,-31970.00,-31970.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9957,19957,"LOUIS PHILIPPE",,.00,.00,50090.00,-50090.00,-50090.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9962,19962,"LOUIS PHILIPPE",,.00,.00,47970.00,-47970.00,-47970.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9962,19962,"LOUIS PHILIPPE",,.00,.00,39150.00,-39150.00,-39150.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9962,19962,"LOUIS PHILIPPE",,.00,.00,60380.00,-60380.00,-60380.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9962,19962,"LOUIS PHILIPPE",,.00,.00,74660.00,-74660.00,-74660.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9965,29965,"VAN HEUSEN",,.00,.00,1700.00,-1700.00,-1700.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9965,29965,"VAN HEUSEN",,.00,.00,15570.00,-15570.00,-15570.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9969,39969,"ALLEN SOLLY",,.00,.00,3900.00,-3900.00,-3900.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9969,39969,"ALLEN SOLLY",,.00,.00,3500.00,-3500.00,-3500.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9922,39922,"ALLEN SOLLY",,.00,.00,16550.00,-16550.00,-16550.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9930,29930,"VAN HEUSEN",,.00,.00,81960.00,-81960.00,-81960.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9932,19932,"LOUIS PHILIPPE",,.00,.00,12250.00,-12250.00,-12250.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9932,19932,"LOUIS PHILIPPE",,.00,.00,70320.00,-70320.00,-70320.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9933,19933,"LOUIS PHILIPPE",,.00,.00,161409.00,-161409.00,-161409.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9937,29937,"VAN HEUSEN",2993700302,3088.00,6200.00,6200.00,-3112.00,-3112.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9939,49939,"PLANET FASHION",,.00,.00,970.00,-970.00,-970.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9939,49939,"PLANET FASHION",,.00,.00,7500.00,-7500.00,-7500.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9951,39951,"ALLEN SOLLY",,.00,.00,17400.00,-17400.00,-17400.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9951,39951,"ALLEN SOLLY",,.00,.00,6800.00,-6800.00,-6800.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9955,39955,"ALLEN SOLLY",,.00,.00,6500.00,-6500.00,-6500.00,,"Not Matched",Pending
02-04-2024,03-04-2024,9931,19931,"LOUIS PHILIPPE",1993100662,4848.00,27000.00,27000.00,-22152.00,-22152.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9923,29923,"VAN HEUSEN",,.00,.00,5150.00,-5150.00,-5150.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9924,19924,"LOUIS PHILIPPE",,.00,.00,49710.00,-49710.00,-49710.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9908,39908,"ALLEN SOLLY",,.00,.00,6300.00,-6300.00,-6300.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9908,39908,"ALLEN SOLLY",,.00,.00,19500.00,-19500.00,-19500.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9908,39908,"ALLEN SOLLY",,.00,.00,3100.00,-3100.00,-3100.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9908,39908,"ALLEN SOLLY",,.00,.00,2440.00,-2440.00,-2440.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9896,29896,"VAN HEUSEN",,.00,.00,24300.00,-24300.00,-24300.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9896,29896,"VAN HEUSEN",,.00,.00,8900.00,-8900.00,-8900.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9897,39897,"ALLEN SOLLY",,.00,.00,25970.00,-25970.00,-25970.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9915,29915,"VAN HEUSEN",,.00,.00,2500.00,-2500.00,-2500.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9915,29915,"VAN HEUSEN",,.00,.00,8590.00,-8590.00,-8590.00,,"Not Matched",Pending
02-04-2024,02-04-2024,9916,19916,"LOUIS PHILIPPE",,.00,.00,24300.00,-24300.00,-24300.00,,"Not Matched",Pending
