"Total Count: ",16540
"Matched Count: ",15292
"Not Matched Count: ",1248

,,,,,,Total,136886262.31,138452984.35,.00,-1566722.04
"Sales Date","Deposit Date","Store ID","Retek Code",Brand,ColBank,Status,"Wallet Sale","Deposit Amount","Store Response Entry","Difference [Sale - Deposit - Store Response]","Pending Difference","Reconcilied Difference"
01-04-2024,01-04-2024,6053,66053,"PE RED","WALLET PHONEPAY",Matched,17.00,17.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6056,66056,"PE RED","WALLET PHONEPAY",Matched,3275.00,3275.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6078,66078,"PE RED","WALLET PHONEPAY",Matched,4557.60,4557.60,0.00,0.00,0.00,
01-04-2024,01-04-2024,6091,66091,"PE RED","WALLET PHONEPAY",Matched,8693.00,8693.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6092,66092,"PE RED","WALLET PHONEPAY",Matched,1399.00,1399.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6094,66094,"PE RED","WALLET PHONEPAY",Matched,547.50,547.50,0.00,0.00,0.00,
01-04-2024,01-04-2024,6106,66106,"PE BLUE","WALLET PHONEPAY",Matched,2299.00,2299.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6111,66111,"PE RED","WALLET PHONEPAY",Matched,11494.60,11494.60,0.00,0.00,0.00,
01-04-2024,01-04-2024,6112,66112,"PE RED","WALLET PHONEPAY",Matched,2194.00,2194.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6119,66119,"PE RED","WALLET PHONEPAY",Matched,1399.07,1399.07,0.00,0.00,0.00,
01-04-2024,01-04-2024,6122,66122,"PE RED","WALLET PHONEPAY",Matched,9289.07,9289.07,0.00,0.00,0.00,
01-04-2024,01-04-2024,6129,66129,"PE RED","WALLET PHONEPAY",Matched,1299.00,1299.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6130,66130,"PE RED","WALLET PHONEPAY",Matched,14338.00,14338.00,0.00,0.00,0.00,
01-04-2024,01-04-2024,6134,66134,"PE RED","WALLET PHONEPAY",Matched,1399.07,1399.07,0.00,0.00,0.00,
