"Unique ID","Sales Date","Deposit Date","Store ID","Retek Code",TID,"Collection Bank","Store Name","Deposit Amount"
2783838,,2024-10-09,,,99100011,"WALLET PHONEPAY",,29500.00
2783839,,2024-10-09,,,99100011,"WALLET PHONEPAY",,9999.00
2783863,,2024-10-09,,,99100012,"WALLET PHONEPAY",,7000.00
2783766,,2024-10-09,,,99100011,"WALLET PHONEPAY",,16500.00
2783767,,2024-10-09,,,99100011,"WALLET PHONEPAY",,31250.00
2783874,,2024-10-08,,,99100012,"WALLET PHONEPAY",,20990.00
2783847,,2024-10-08,,,99100011,"WALLET PHONEPAY",,15100.00
2783845,,2024-10-07,,,99100011,"WALLET PHONEPAY",,7000.00
2783846,,2024-10-07,,,99100011,"WALLET PHONEPAY",,16500.00
2783784,,2024-10-07,,,,"WALLET PHONEPAY",,-898.00
2783785,,2024-10-06,,,99100011,"WALLET PHONEPAY",,18250.00
2783786,,2024-10-06,,,99100011,"WALLET PHONEPAY",,1801.00
2783820,,2024-10-06,,,99100012,"WALLET PHONEPAY",,250.00
2783815,,2024-10-06,,,99100011,"WALLET PHONEPAY",,16500.00
2783816,,2024-10-05,,,99100011,"WALLET PHONEPAY",,4500.00
2783817,,2024-10-05,,,99100011,"WALLET PHONEPAY",,429.36
2783818,,2024-10-05,,,99100011,"WALLET PHONEPAY",,19795.00
2783819,,2024-10-05,,,99100011,"WALLET PHONEPAY",,13995.00
2783821,,2024-10-05,,,1479985,"WALLET PHONEPAY",,3099.00
2783814,,2024-10-05,,,99100011,"WALLET PHONEPAY",,2570.64
2783794,,2024-10-04,,,9921603,"WALLET PHONEPAY",,26500.00
2783864,,2024-10-04,,,99100011,"WALLET PHONEPAY",,18500.00
2783865,,2024-10-04,,,99100011,"WALLET PHONEPAY",,21500.00
2783866,,2024-10-04,,,99100011,"WALLET PHONEPAY",,53250.00
2783852,,2024-10-04,,,99100012,"WALLET PHONEPAY",,27949.50
2783853,,2024-10-04,,,99100012,"WALLET PHONEPAY",,30000.00
2783781,,2024-10-03,,,99100012,"WALLET PHONEPAY",,99720.00
2783777,,2024-10-03,,,99100011,"WALLET PHONEPAY",,57750.00
