"Total Count: ",356
"Matched Count: ",327
"Not Matched Count: ",29

,,,,,,Total,115556920.22,108680516.98,.00,6876403.24
"Credit Date","Deposit Date","Store ID","Retek Code","Col Bank",Status,"Reference Number","Net MIS Amount","Credit Amount","Store Response Entry","Difference [Net Amt - Cr Amt - Store Response]","Store Gouping Remarks"
19-05-2024,18-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41400427144,38086.20,38086.20,.00,0.00,"Stores: 1001,1266,1817,2446,3430,3436"
19-05-2024,18-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM14043116237,5495.00,5495.00,.00,0.00,
19-05-2024,18-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM14039579808,3645.00,3645.00,.00,0.00,
19-05-2024,18-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41400934472,712764.66,712764.68,.00,0.02,"Stores: 1228,2977,2995,4515,4521,4533,4535,4538,4539,4568,4576,4812,4831,4850,4862,4865,4871,4872,4876,4879,4884,4885,4887,4889,4890,4893,4969,5528,5529,5536,5714,5739,5780,5797,5878,6443,6512,6596,6629,6634,6664,6701,6703,6721,6735,6736,6758,6759,6762,6829,6832,6856,6868,6910,6914,6945,6975,7006,7066,7082,7524,7582,7617,7618,7622,7668,7685,7822,7855,7858,9426,9461,9648,9735,9805,9862,9882,9883,9897,9951"
19-05-2024,18-05-2024,9989,29989,"WALLET PHONEPAY",Matched,YESPH41400131358,187010.47,187010.51,.00,0.04,"Stores: 1118,1175,1233,1569,5801,6872,6929,7010,7558,7561,7697,7777,7778,7989,8110,8147,8148,8190,8215,8223,8248,8291,8292,8293,8356,9087,9596,9615,9817,9989"
18-05-2024,17-05-2024,9989,29989,"WALLET PHONEPAY",Matched,YESPH41390093491,198665.51,198665.52,.00,0.01,"Stores: 1118,1175,1233,1770,1784,5777,5801,5824,5989,7010,7070,7557,7558,7686,7697,7770,7777,7909,7989,8110,8146,8148,8190,8217,8289,8291,8293,8322,8356,9087,9596,9615,9650,9782,9817,9989"
18-05-2024,17-05-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41390199687,515051.79,515051.80,.00,0.01,"Stores: 1227,1228,1241,2977,4521,4533,4538,4539,4568,4573,4576,4585,4592,4812,4823,4831,4850,4862,4869,4871,4872,4876,4884,4887,4889,4890,4892,4893,5528,5529,5530,5536,5739,5780,5797,6512,6596,6629,6634,6664,6701,6703,6721,6734,6736,6758,6759,6762,6823,6829,6856,6910,6914,6945,6975,7006,7066,7082,7524,7582,7617,7643,7668,7685,7772,7822,7855,7917,7936,9426,9461,9648,9654,9735,9862,9882,9897,9929,9951"
18-05-2024,17-05-2024,9872,69872,"WALLET PHONEPAY","Not Matched",YESPH41391798038,1077130.68,1080650.88,.00,3520.20,"Stores: 1404,2574,2577,2591,2633,2725,2827,2891,3611,3618,3662,3673,3678,3696,3697,3698,3699,3810,3811,3812,3817,3834,3842,3845,3852,3854,3858,3866,3876,3884,3885,3888,3889,3891,3900,3903,3904,3905,3909,3912,3919,3931,3935,3938,3950,3961,3962,3964,3978,3980,3982,3983,3985,3986,3987,3990,3992,5476,5585,5610,5611,5682,5683,5786,5843,5894,5982,6011,6037,6044,6053,6054,6056,6064,6076,6078,6091,6092,6094,6101,6110,6112,6119,6121,6130,6134,6140,6143,6159,6165,6170,6188,6189,6208,6227,6229,6241,6265,6284,6286,6334,6346,6348,6357,6359,6371,6373,6376,6384,6388,6392,6393,6400,6423,6465,6467,6543,6553,6555,6556,6563,6567,6570,6571,6575,6624,6628,6632,6643,6662,6675,6689,6716,6722,6726,6731,6741,6742,6743,6747,6795,6816,6833,6842,6956,6987,7004,7041,7051,7055,7073,7093,7212,7265,7266,7282,7522,7542,7563,7574,7614,7711,7714,7715,7760,7763,7771,7829,7852,7859,7872,7875,7880,7946,9454,9771,9772,9792,9800,9823,9872"
18-05-2024,17-05-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM13933053070,6003.00,6003.00,.00,0.00,
18-05-2024,17-05-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM13934103480,11388.00,11388.00,.00,0.00,
18-05-2024,17-05-2024,3436,43436,"WALLET PHONEPAY",Matched,YESPH41390826094,100352.61,100352.63,.00,0.02,"Stores: 1001,1039,1043,1266,1817,2490,3427,3430,3436"
18-05-2024,17-05-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM13934837621,11340.07,11337.69,.00,-2.38,"Stores: 2556,6313,6386"
18-05-2024,17-05-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM13931629052,1299.00,1299.00,.00,0.00,
