"Total Count: ",356
"Matched Count: ",327
"Not Matched Count: ",29

,,,,,,Total,115556920.22,108680516.98,.00,6876403.24
"Credit Date","Deposit Date","Store ID","Retek Code","Col Bank",Status,"Reference Number","Net MIS Amount","Credit Amount","Store Response Entry","Difference [Net Amt - Cr Amt - Store Response]","Store Gouping Remarks"
10-04-2024,09-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH41011836980,4143717.84,4143717.89,.00,0.05,"Stores: 1340,1404,1407,1493,1510,1515,2318,2562,2574,2577,2591,2598,2614,2662,2733,2772,2805,2808,2891,3611,3616,3618,3655,3660,3662,3663,3669,3671,3673,3678,3686,3689,3690,3691,3697,3698,3801,3809,3810,3811,3812,3817,3821,3830,3831,3834,3842,3843,3845,3849,3852,3854,3858,3866,3876,3885,3887,3888,3889,3891,3895,3899,3900,3901,3902,3904,3905,3909,3910,3912,3918,3919,3922,3924,3927,3931,3935,3938,3940,3961,3962,3963,3964,3980,3982,3983,3985,3986,3987,3990,3992,3994,5464,5476,5535,5566,5579,5584,5585,5610,5611,5619,5682,5683,5741,5760,5843,5894,5919,6011,6021,6036,6037,6044,6053,6054,6056,6064,6071,6074,6076,6078,6091,6092,6094,6101,6106,6110,6111,6112,6119,6121,6122,6130,6134,6140,6143,6158,6159,6160,6170,6173,6178,6187,6188,6190,6200,6208,6214,6222,6223,6225,6227,6229,6241,6243,6257,6265,6269,6282,6283,6284,6286,6287,6289,6313,6334,6346,6348,6350,6352,6357,6359,6364,6366,6369,6371,6373,6376,6384,6387,6388,6392,6393,6395,6415,6421,6423,6429,6465,6467,6511,6536,6542,6553,6555,6556,6563,6570,6571,6573,6575,6594,6627,6628,6643,6662,6675,6689,6716,6722,6726,6731,6741,6743,6747,6795,6816,6833,6842,6900,6911,6927,6936,6977,6987,6991,7004,7019,7031,7041,7054,7055,7093,7212,7255,7265,7266,7282,7517,7522,7542,7548,7563,7574,7607,7614,7667,7711,7714,7715,7760,7763,7771,7802,7829,7834,7852,7859,7870,7872,7875,7880,7946,7961,9454,9771,9772,9792,9800,9823,9872"
10-04-2024,09-04-2024,9717,59717,"WALLET PHONEPAY",Matched,YESPH41011837048,186702.75,186702.75,.00,0.00,"Stores: 9421,9499,9701,9704,9708,9712,9717"
10-04-2024,09-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM10186672246,50801.42,50768.95,.00,-32.47,"Stores: 2556,6386,6393"
10-04-2024,09-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM10186859592,5105.37,5105.37,.00,0.00,
10-04-2024,09-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM10184334638,899.03,899.03,.00,0.00,
10-04-2024,09-04-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM10184309951,564.00,564.00,.00,0.00,
10-04-2024,09-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41010232228,1357641.28,1357641.34,.00,0.06,"Stores: 1149,1227,1241,2977,4533,4538,4539,4573,4576,4585,4812,4823,4828,4831,4850,4864,4865,4870,4871,4872,4876,4884,4887,4889,4890,4892,4893,4951,4988,5528,5529,5531,5536,5538,5539,5600,5739,5780,5797,5870,5876,5878,5890,6443,6512,6580,6596,6629,6634,6664,6691,6701,6703,6708,6721,6736,6758,6759,6762,6784,6823,6829,6856,6868,6910,6914,6921,6949,6962,6975,7006,7060,7082,7085,7524,7582,7617,7618,7622,7643,7668,7685,7822,7853,7855,7858,7917,7936,7977,9426,9461,9648,9654,9689,9735,9754,9805,9862,9882,9883,9897,9951"
09-04-2024,08-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH41000250880,1543769.11,1543769.18,.00,0.07,"Stores: 1227,2977,2995,3731,4521,4535,4538,4539,4573,4576,4585,4800,4811,4812,4823,4831,4850,4865,4867,4868,4870,4871,4872,4876,4879,4884,4889,4890,4892,4893,4951,4988,5528,5529,5530,5536,5537,5538,5539,5600,5638,5739,5797,5870,5890,6443,6512,6596,6629,6634,6664,6691,6701,6703,6721,6734,6736,6758,6759,6762,6823,6829,6832,6856,6868,6910,6914,6921,6949,6962,6975,7006,7082,7085,7213,7524,7545,7562,7582,7617,7618,7622,7643,7668,7685,7705,7822,7853,7855,7858,7936,9426,9460,9461,9648,9649,9654,9735,9745,9805,9862,9882,9883,9897,9951"
09-04-2024,08-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM10078443091,13241.55,13241.55,.00,0.00,
09-04-2024,08-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM10078386550,5142.50,5142.50,.00,0.00,
09-04-2024,08-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM10075602365,47913.48,47908.04,.00,-5.44,"Stores: 2556,6386,6393"
09-04-2024,08-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH41000841395,339275.54,339275.54,.00,0.00,"Stores: 1001,1039,1043,1113,1176,1266,1817,2158,2194,2446,2490,3420,3427,3430,3436,9585"
08-04-2024,07-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH40990846075,559464.69,559464.69,.00,0.00,"Stores: 1001,1043,1113,1176,1266,1615,1817,2158,2194,2446,2447,2490,3420,3427,3436,9403,9585"
08-04-2024,06-04-2024,7814,77814,"WALLET PHONEPAY",Matched,AXNPN09970003067,3999.00,3999.00,.00,0.00,
08-04-2024,07-04-2024,9717,59717,"WALLET PHONEPAY",Matched,YESPH40991827778,326797.72,326797.72,.00,0.00,"Stores: 9421,9701,9704,9708,9712,9717"
08-04-2024,07-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH40991828180,4422330.75,4422330.69,.00,-0.06,"Stores: 1340,1404,1510,1515,2562,2574,2577,2591,2598,2614,2651,2662,2808,2882,2886,2891,2898,3616,3618,3632,3644,3660,3662,3669,3671,3673,3675,3678,3689,3690,3691,3696,3697,3698,3699,3809,3810,3811,3812,3817,3821,3825,3831,3834,3835,3838,3842,3843,3845,3852,3854,3858,3866,3876,3884,3885,3887,3888,3889,3891,3895,3899,3900,3901,3902,3903,3904,3905,3909,3910,3912,3917,3919,3922,3924,3927,3931,3935,3938,3950,3961,3962,3963,3964,3967,3980,3982,3983,3985,3986,3990,3992,3994,3995,5476,5535,5579,5584,5585,5610,5611,5619,5682,5683,5741,5786,5843,5894,5919,6011,6021,6036,6037,6044,6053,6054,6056,6064,6071,6076,6078,6091,6092,6094,6101,6106,6110,6111,6112,6119,6121,6122,6130,6134,6140,6143,6159,6160,6163,6165,6170,6173,6177,6187,6188,6189,6190,6200,6208,6214,6223,6224,6225,6227,6229,6241,6243,6265,6269,6274,6282,6283,6284,6286,6289,6334,6344,6346,6348,6350,6352,6357,6359,6362,6364,6366,6369,6371,6373,6376,6384,6386,6387,6388,6392,6393,6395,6400,6415,6423,6429,6465,6467,6511,6538,6542,6543,6553,6555,6556,6563,6570,6571,6575,6594,6624,6627,6628,6632,6643,6662,6675,6689,6716,6722,6726,6731,6741,6742,6743,6747,6763,6795,6816,6833,6842,6900,6911,6927,6936,6977,6987,7004,7019,7031,7041,7051,7054,7055,7093,7212,7255,7265,7266,7282,7517,7522,7542,7563,7574,7607,7614,7667,7711,7714,7715,7760,7763,7771,7802,7829,7834,7852,7859,7870,7872,7875,7880,9454,9455,9771,9772,9792,9800,9823,9872"
08-04-2024,07-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM09967353315,7511.00,7511.00,.00,0.00,
08-04-2024,07-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM09968704517,83897.90,83897.90,.00,0.00,"Stores: 2556,6386,6393"
08-04-2024,07-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM09966170214,2198.08,2198.08,.00,0.00,
08-04-2024,07-04-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM09966146022,999.00,999.00,.00,0.00,
08-04-2024,07-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH40990243265,1938004.20,1938004.22,.00,0.02,"Stores: 1149,1228,2977,3731,4521,4533,4535,4539,4573,4576,4585,4587,4800,4812,4823,4831,4842,4850,4862,4864,4865,4869,4870,4871,4872,4876,4879,4884,4887,4889,4890,4892,4893,4988,5528,5529,5530,5536,5537,5538,5638,5660,5739,5795,5797,5870,5878,5890,6443,6512,6596,6634,6664,6691,6701,6703,6721,6736,6758,6759,6762,6823,6829,6832,6856,6868,6910,6914,6921,6945,6962,6975,7006,7060,7082,7085,7213,7285,7524,7545,7582,7617,7618,7622,7643,7668,7705,7728,7822,7853,7855,7858,7878,7917,7936,9426,9460,9461,9648,9649,9654,9658,9689,9735,9745,9754,9805,9882,9883,9897,9951"
07-04-2024,06-04-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM09856995597,1998.00,1998.00,.00,0.00,
07-04-2024,06-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM09860542894,6895.13,6895.13,.00,0.00,
07-04-2024,06-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM09857595998,3697.07,3697.07,.00,0.00,
07-04-2024,06-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM09860302533,43899.75,43899.75,.00,0.00,"Stores: 2556,6386,6393"
07-04-2024,06-04-2024,9897,39897,"WALLET PHONEPAY",Matched,YESPH40980256141,1140653.78,1140653.77,.00,-0.01,"Stores: 1149,1227,2977,3731,4521,4533,4538,4539,4573,4576,4585,4587,4800,4812,4823,4831,4842,4856,4862,4864,4865,4868,4869,4870,4871,4872,4876,4879,4884,4887,4889,4890,4892,4969,4988,5528,5529,5530,5536,5537,5538,5739,5780,5797,5870,5878,5890,6443,6512,6629,6633,6634,6664,6691,6701,6703,6721,6734,6735,6736,6758,6759,6762,6823,6829,6832,6856,6868,6910,6914,6962,6975,6998,7006,7060,7082,7213,7285,7524,7545,7582,7617,7618,7622,7643,7668,7705,7822,7853,7858,7878,7917,9426,9461,9648,9649,9654,9735,9745,9805,9862,9882,9883,9897"
07-04-2024,06-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH40980878593,222467.55,222467.55,.00,0.00,"Stores: 1001,1039,1113,1266,1817,2158,2194,2446,2490,3420,3427,3436,9585"
06-04-2024,05-04-2024,9403,49403,"WALLET PHONEPAY",Matched,YESPH40970877049,140371.40,140371.40,.00,0.00,"Stores: 1001,1039,1043,1176,1266,1270,1817,2158,2447,2490,3427,3430,3436,9403"
06-04-2024,05-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM09751335969,12983.00,12983.00,.00,0.00,
06-04-2024,05-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH40971888485,1422003.93,1422003.90,.00,-0.03,"Stores: 1340,1404,1430,2574,2577,2591,2792,2808,3616,3618,3632,3644,3662,3669,3673,3675,3678,3689,3690,3691,3696,3697,3699,3809,3810,3812,3817,3821,3825,3835,3842,3845,3849,3851,3852,3866,3876,3879,3884,3885,3888,3889,3891,3895,3900,3901,3902,3904,3905,3909,3910,3917,3918,3922,3924,3927,3931,3935,3938,3950,3961,3962,3963,3964,3967,3978,3980,3982,3983,3985,3986,3990,3992,3994,3995,5476,5535,5579,5584,5585,5610,5611,5619,5682,5683,5741,5760,5761,5786,5843,5894,5919,6011,6021,6037,6053,6056,6073,6074,6076,6078,6091,6092,6094,6096,6101,6106,6110,6111,6112,6119,6122,6130,6134,6140,6158,6159,6160,6164,6170,6173,6187,6188,6190,6208,6214,6223,6225,6227,6229,6241,6243,6274,6282,6283,6284,6286,6289,6313,6334,6346,6348,6357,6359,6364,6366,6371,6373,6376,6384,6388,6395,6400,6421,6429,6467,6509,6511,6542,6553,6555,6556,6563,6570,6571,6575,6594,6624,6628,6643,6662,6675,6716,6726,6731,6741,6743,6747,6763,6816,6833,6842,6900,6911,6927,6956,6987,6991,7004,7019,7041,7054,7093,7255,7265,7266,7282,7517,7522,7542,7563,7667,7711,7714,7760,7763,7771,7802,7829,7852,7859,7870,7872,7875,7880,9454,9771,9772,9792,9801,9872"
06-04-2024,05-04-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH40971888623,82748.50,82748.50,.00,0.00,"Stores: 9421,9701,9704,9712"
06-04-2024,05-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM09748364765,39970.20,39970.20,.00,0.00,"Stores: 2556,6386,6393"
06-04-2024,05-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM09751248545,12566.91,12566.91,.00,0.00,
06-04-2024,05-04-2024,3655,63655,"WALLET PAYTM",Matched,AXNPM09748816373,2833.00,2833.00,.00,0.00,
06-04-2024,05-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH40970244095,1015340.60,1015340.63,.00,0.03,"Stores: 1227,1953,2977,3731,4521,4533,4538,4539,4573,4576,4800,4811,4812,4823,4831,4842,4856,4862,4864,4865,4867,4870,4871,4872,4876,4884,4887,4889,4890,4892,4893,4988,4998,5528,5529,5531,5536,5538,5539,5739,5778,5797,5870,5890,6512,6596,6629,6633,6634,6664,6691,6701,6703,6708,6721,6736,6758,6759,6762,6823,6829,6832,6856,6868,6910,6914,6945,6962,6975,6998,7060,7082,7085,7213,7524,7545,7582,7617,7618,7622,7643,7705,7822,7853,7855,7858,7917,7936,9426,9648,9735,9745,9754,9805,9862,9882,9883,9897,9951"
05-04-2024,04-04-2024,9951,39951,"WALLET PHONEPAY",Matched,YESPH40960246012,873816.78,873816.79,.00,0.01,"Stores: 1228,1241,1953,2977,2995,3731,4521,4533,4535,4539,4573,4576,4585,4811,4812,4823,4831,4842,4855,4862,4865,4866,4870,4871,4876,4879,4884,4887,4889,4890,4892,4893,4896,4988,5528,5529,5530,5531,5600,5890,6512,6596,6633,6634,6664,6701,6703,6721,6734,6736,6758,6759,6762,6821,6823,6829,6832,6856,6868,6910,6914,6921,6949,6962,6975,6976,6998,7060,7082,7524,7582,7617,7618,7622,7643,7668,7685,7822,7853,7858,7878,7936,9426,9460,9461,9648,9654,9735,9754,9862,9882,9883,9897,9951"
05-04-2024,04-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM09638136544,3097.04,3097.04,.00,0.00,
05-04-2024,04-04-2024,6393,66393,"WALLET PAYTM","Not Matched",AXNPM09641787371,46682.60,46557.60,.00,-125.00,"Stores: 2556,6386,6393"
05-04-2024,04-04-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH40961881435,78075.00,78075.00,.00,0.00,"Stores: 9421,9701,9704,9712"
05-04-2024,04-04-2024,9823,69823,"WALLET PHONEPAY",Matched,YESPH40961879730,1271354.39,1271354.38,.00,-0.01,"Stores: 1340,1515,2562,2577,2614,2651,2848,2891,3616,3618,3644,3660,3662,3663,3669,3673,3675,3678,3686,3689,3690,3696,3697,3810,3811,3816,3817,3825,3831,3834,3843,3845,3852,3858,3876,3885,3889,3891,3895,3900,3902,3904,3905,3910,3912,3913,3917,3924,3927,3931,3935,3938,3961,3962,3980,3982,3983,3985,3986,3990,3992,3994,5464,5476,5535,5566,5584,5585,5611,5619,5682,5683,5741,5751,5786,5843,5894,5896,6011,6036,6037,6044,6046,6053,6054,6056,6074,6078,6092,6094,6096,6106,6110,6111,6112,6121,6122,6129,6134,6140,6159,6160,6163,6187,6190,6200,6208,6214,6222,6223,6225,6227,6229,6265,6282,6283,6284,6286,6289,6344,6346,6348,6350,6352,6357,6359,6364,6371,6373,6376,6381,6386,6387,6392,6393,6395,6400,6465,6467,6509,6511,6542,6543,6553,6555,6556,6563,6571,6575,6594,6627,6628,6662,6675,6689,6716,6722,6726,6741,6743,6747,6763,6816,6833,6842,6900,6977,7019,7051,7054,7093,7212,7255,7265,7266,7282,7517,7522,7542,7563,7574,7607,7614,7667,7711,7714,7715,7760,7763,7802,7829,7852,7859,7872,7875,7880,9454,9771,9772,9792,9800,9823"
05-04-2024,04-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM09638053518,4795.19,4795.19,.00,0.00,
05-04-2024,04-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH40960900941,142333.20,142333.20,.00,0.00,"Stores: 1001,1039,1113,1176,1266,1270,1817,2194,2446,2490,3420,3427,3430,9585"
04-04-2024,03-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH40950868299,107114.67,107114.66,.00,-0.01,"Stores: 1001,1022,1039,1043,1266,1270,1817,2158,2446,2490,3411,3420,3436,9403,9585"
04-04-2024,03-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM09533204974,8396.14,8396.14,.00,0.00,
04-04-2024,03-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH40951906371,1053417.76,1053417.77,.00,0.01,"Stores: 1340,1404,1510,1515,2318,2562,2574,2577,2591,2598,2614,2733,2772,2808,2827,2891,3616,3618,3632,3662,3666,3669,3673,3689,3690,3697,3809,3810,3811,3812,3817,3821,3831,3835,3845,3854,3876,3884,3885,3889,3891,3895,3900,3902,3904,3912,3918,3919,3922,3927,3931,3935,3938,3940,3951,3961,3962,3964,3980,3982,3985,3986,3990,3992,5476,5535,5566,5579,5584,5585,5610,5611,5682,5741,5786,5894,5896,6011,6036,6037,6044,6046,6053,6056,6071,6076,6078,6091,6092,6096,6101,6106,6110,6111,6119,6121,6122,6134,6160,6170,6188,6189,6208,6214,6223,6225,6227,6229,6243,6257,6265,6269,6274,6282,6284,6286,6289,6313,6334,6346,6348,6352,6357,6364,6366,6371,6373,6376,6384,6387,6388,6392,6395,6400,6415,6421,6423,6467,6509,6543,6553,6555,6556,6563,6571,6575,6594,6628,6675,6689,6716,6722,6726,6741,6743,6747,6763,6795,6816,6842,6900,6911,6936,6977,6987,6991,7019,7054,7255,7265,7266,7282,7522,7542,7548,7563,7574,7607,7667,7711,7714,7715,7760,7763,7802,7829,7852,7859,7870,7872,7880,7961,9454,9772,9800,9872"
04-04-2024,03-04-2024,9712,59712,"WALLET PHONEPAY",Matched,YESPH40951906482,75522.50,75522.50,.00,0.00,"Stores: 9421,9701,9704,9712"
04-04-2024,03-04-2024,6393,66393,"WALLET PAYTM",Matched,AXNPM09532987917,43212.90,43212.90,.00,0.00,"Stores: 2556,6386,6393"
04-04-2024,03-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM09529252816,1599.07,1599.07,.00,0.00,
03-04-2024,02-04-2024,6276,66276,"WALLET PAYTM",Matched,AXNPM09423903669,5196.14,5196.14,.00,0.00,
03-04-2024,02-04-2024,6393,66393,"WALLET PAYTM","Not Matched",AXNPM09422115051,28489.70,28027.70,.00,-462.00,"Stores: 2556,6386,6393"
03-04-2024,02-04-2024,9717,59717,"WALLET PHONEPAY",Matched,YESPH40942086327,64645.35,64645.35,.00,0.00,"Stores: 9421,9701,9704,9712,9717"
03-04-2024,02-04-2024,9872,69872,"WALLET PHONEPAY",Matched,YESPH40942086240,872391.84,872391.79,.00,-0.05,"Stores: 1340,1404,2574,2591,2614,2805,2808,3616,3618,3654,3660,3662,3669,3673,3674,3675,3678,3690,3696,3697,3809,3810,3812,3817,3821,3831,3834,3835,3838,3849,3854,3858,3866,3876,3884,3885,3888,3889,3891,3895,3902,3904,3905,3912,3919,3922,3924,3925,3927,3935,3938,3961,3980,3983,3985,3986,3992,5476,5535,5558,5584,5610,5611,5619,5682,5683,5741,5760,5786,5822,5843,5847,5894,6011,6036,6037,6044,6046,6056,6064,6071,6074,6076,6078,6091,6092,6094,6096,6101,6110,6111,6119,6121,6122,6140,6159,6160,6163,6170,6173,6187,6188,6189,6200,6208,6223,6225,6227,6229,6243,6249,6257,6265,6269,6282,6284,6286,6289,6334,6344,6346,6348,6352,6359,6362,6364,6366,6369,6373,6376,6384,6388,6392,6393,6395,6400,6415,6423,6465,6467,6555,6556,6570,6571,6575,6594,6624,6628,6662,6689,6716,6726,6731,6741,6743,6747,6795,6816,6833,6842,6911,6927,7019,7041,7054,7093,7212,7255,7266,7282,7517,7522,7542,7563,7574,7667,7711,7760,7771,7802,7829,7852,7859,7872,7875,7880,9448,9454,9771,9772,9872"
03-04-2024,02-04-2024,6804,66804,"WALLET PAYTM",Matched,AXNPM09423871715,7194.00,7194.00,.00,0.00,
03-04-2024,02-04-2024,9585,49585,"WALLET PHONEPAY",Matched,YESPH40940854344,96720.99,96720.98,.00,-0.01,"Stores: 1022,1113,1176,1266,1615,1817,2446,2447,2490,3420,9585"
03-04-2024,02-04-2024,9993,39993,"WALLET PHONEPAY",Matched,YESPH40940271330,751024.22,751024.25,.00,0.03,"Stores: 2977,2995,4533,4539,4573,4576,4585,4800,4812,4823,4831,4842,4862,4865,4870,4871,4876,4884,4887,4889,4890,4892,4893,4988,5529,5536,5638,5739,5797,5870,5890,6443,6512,6634,6664,6691,6701,6703,6721,6734,6736,6758,6759,6823,6829,6856,6910,6914,6921,6975,6998,7006,7066,7085,7524,7582,7617,7618,7622,7643,7668,7685,7822,7853,7855,7858,7878,7936,9426,9461,9648,9654,9689,9735,9745,9754,9805,9862,9882,9883,9897,9951,9993"
02-04-2024,01-04-2024,9951,39951,"WALLET PHONEPAY","Not Matched",YESPH40930296478,601805.47,2913891.68,.00,2312086.21,"Stores: 1149,2977,2995,3731,4521,4533,4538,4539,4573,4576,4595,4812,4823,4842,4865,4869,4870,4871,4876,4884,4887,4889,4890,4892,4893,4969,4988,5528,5530,5536,5638,5712,5714,5739,5797,5870,5890,6512,6596,6633,6634,6664,6691,6701,6703,6719,6721,6734,6736,6758,6762,6823,6829,6856,6868,6910,6914,6921,6945,6975,6998,7006,7082,7213,7524,7582,7617,7618,7622,7643,7668,7685,7813,7822,7853,7855,7858,7917,7977,9426,9648,9649,9654,9735,9754,9862,9883,9897,9951"
02-04-2024,01-04-2024,9585,49585,"WALLET PHONEPAY","Not Matched",YESPH40930949300,75506.69,578020.49,.00,502513.80,"Stores: 1022,1176,1266,1817,2446,2447,2490,3411,3420,3427,3430,3436,9585"
02-04-2024,01-04-2024,9823,69823,"WALLET PHONEPAY","Not Matched",YESPH40932022048,912071.74,4152974.32,.00,3240902.58,"Stores: 1404,2318,2577,2591,2614,2662,2805,2891,3611,3616,3618,3655,3669,3673,3675,3678,3689,3690,3691,3696,3698,3809,3817,3821,3825,3831,3835,3842,3843,3851,3852,3866,3876,3885,3888,3889,3895,3900,3904,3905,3913,3917,3924,3927,3931,3933,3935,3938,3940,3961,3962,3980,3983,3985,3986,3990,3992,5566,5579,5585,5610,5619,5682,5683,5786,5843,5894,6036,6037,6053,6056,6078,6091,6092,6094,6106,6111,6112,6119,6122,6129,6130,6134,6159,6160,6170,6190,6208,6214,6222,6223,6225,6229,6243,6257,6269,6282,6284,6286,6334,6350,6357,6364,6366,6369,6371,6373,6376,6384,6387,6388,6389,6393,6395,6400,6415,6421,6429,6467,6536,6542,6543,6555,6556,6571,6575,6594,6628,6662,6675,6689,6716,6722,6726,6731,6741,6742,6795,6927,6936,6977,7019,7041,7051,7054,7055,7093,7255,7265,7266,7282,7517,7522,7542,7563,7614,7667,7711,7714,7760,7763,7771,7802,7829,7859,7870,7872,7875,9454,9800,9823"
02-04-2024,01-04-2024,9704,59704,"WALLET PHONEPAY","Not Matched",YESPH40932022159,50830.50,247939.25,.00,197108.75,"Stores: 9421,9701,9704"
02-04-2024,01-04-2024,6386,66386,"WALLET PAYTM",Matched,AXNPM09314841080,35385.00,35385.00,.00,0.00,"Stores: 2556,6386"
